No.,cX,cY,time,dist
0,214.00,90.75,0.03,0.00
1,199.00,140.50,0.07,51.96
2,191.50,102.00,0.10,39.22
3,186.50,113.00,0.13,12.08
4,203.00,120.00,0.17,17.92
5,221.50,109.00,0.20,21.52
6,228.00,108.50,0.23,6.52
7,202.00,130.00,0.27,33.74
8,187.50,144.00,0.30,20.16
9,184.00,152.00,0.33,8.73
10,176.50,151.50,0.37,7.52
11,179.00,118.50,0.40,33.09
12,196.50,88.00,0.43,35.16
13,179.50,113.00,0.47,30.23
14,157.50,128.00,0.50,26.63
15,143.50,135.00,0.53,15.65
16,152.00,152.00,0.57,19.01
17,160.00,156.00,0.60,8.94
18,149.50,171.00,0.63,18.31
19,149.50,194.00,0.67,23.00
20,172.50,213.50,0.70,30.15
21,204.50,221.50,0.73,32.98
22,215.00,219.50,0.77,10.69
23,221.50,215.50,0.80,7.63
24,244.50,211.50,0.83,23.35
25,210.50,209.50,0.87,34.06
26,191.50,215.50,0.90,19.92
27,200.50,218.50,0.93,9.49
28,206.00,221.50,0.97,6.26
29,238.50,222.50,1.00,32.52
30,280.00,220.50,1.03,41.55
31,285.00,216.50,1.07,6.40
32,282.00,205.50,1.10,11.40
33,333.50,189.50,1.13,53.93
34,331.50,163.50,1.17,26.08
35,324.50,148.50,1.20,16.55
36,324.50,140.00,1.23,8.50
37,334.50,127.50,1.27,16.01
38,337.50,124.50,1.30,4.24
39,337.50,135.50,1.33,11.00
40,348.50,151.50,1.37,19.42
41,353.50,183.00,1.40,31.89
42,347.50,203.50,1.43,21.36
43,276.50,202.50,1.47,71.01
44,259.00,209.50,1.50,18.85
45,233.50,215.50,1.53,26.20
46,247.00,218.50,1.57,13.83
47,227.00,218.50,1.60,20.00
48,222.50,161.00,1.63,57.68
49,242.50,134.00,1.67,33.60
50,246.00,134.00,1.70,3.50
51,236.50,112.00,1.73,23.96
52,216.50,119.00,1.77,21.19
53,209.00,136.75,1.80,19.27
54,222.00,127.25,1.83,16.10
55,205.00,118.25,1.87,19.24
56,197.50,98.25,1.90,21.36
57,200.00,97.25,1.93,2.69
58,216.50,121.75,1.97,29.54
59,195.00,104.25,2.00,27.72
60,174.50,97.25,2.03,21.66
61,207.00,94.25,2.07,32.64
62,225.00,110.25,2.10,24.08
63,206.00,125.75,2.13,24.52
64,211.50,128.00,2.17,5.94
65,160.00,127.00,2.20,51.51
66,170.00,195.50,2.23,69.23
67,184.50,197.50,2.27,14.64
68,202.50,211.50,2.30,22.80
69,191.50,212.50,2.33,11.05
70,288.50,217.50,2.37,97.13
71,174.50,217.50,2.40,114.00
72,159.00,215.50,2.43,15.63
73,167.00,214.50,2.47,8.06
74,183.00,214.50,2.50,16.00
75,201.50,218.50,2.53,18.93
76,190.00,210.50,2.57,14.01
77,192.50,206.50,2.60,4.72
78,164.50,207.50,2.63,28.02
79,185.00,211.50,2.67,20.89
80,198.00,208.50,2.70,13.34
81,205.50,146.50,2.73,62.45
82,176.00,164.50,2.77,34.56
83,188.50,173.50,2.80,15.40
84,161.50,179.50,2.83,27.66
85,216.50,78.00,2.87,115.44
86,199.50,62.25,2.90,23.17
87,189.00,85.50,2.93,25.51
88,200.50,126.00,2.97,42.10
89,236.00,128.00,3.00,35.56
90,252.50,77.25,3.03,53.36
91,241.50,81.75,3.07,11.88
92,224.50,91.25,3.10,19.47
93,232.00,92.75,3.13,7.65
94,229.50,111.25,3.17,18.67
95,243.00,119.75,3.20,15.95
96,260.00,118.75,3.23,17.03
97,268.50,122.75,3.27,9.39
98,246.50,121.25,3.30,22.05
99,229.50,119.75,3.33,17.07
Total dist in pix: 2533.7052
Total timein sec: 3.3333
